Algorithm;;Size;Success;Count;Time;;;
LESS CONSTRAINED;MEDIUM;16;True;25;0,008994579;;;
LESS CONSTRAINED;MEDIUM;17;True;24;0,008994579;;;
LESS CONSTRAINED;MEDIUM;18;True;48;0,019987583;;;
LESS CONSTRAINED;MEDIUM;19;True;138;0,067957878;;;
LESS CONSTRAINED;MEDIUM;20;True;205;0,116930008;;708;0,291821957
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
LESS CONSTRAINED;MOST CONSTRAINED;4;True;8;0,000999689;;;
LESS CONSTRAINED;MOST CONSTRAINED;5;True;5;0;;;
LESS CONSTRAINED;MOST CONSTRAINED;6;True;31;0,004997015;;;
LESS CONSTRAINED;MOST CONSTRAINED;7;True;9;0,000998735;;;
LESS CONSTRAINED;MOST CONSTRAINED;8;True;113;0,022986412;;;
LESS CONSTRAINED;MOST CONSTRAINED;9;True;41;0,008989573;;;
LESS CONSTRAINED;MOST CONSTRAINED;10;True;102;0,0269835;;;
LESS CONSTRAINED;MOST CONSTRAINED;11;True;52;0,014990568;;;
LESS CONSTRAINED;MOST CONSTRAINED;12;True;261;0,086946011;;;
LESS CONSTRAINED;MOST CONSTRAINED;13;True;111;0,040979385;;;
LESS CONSTRAINED;MOST CONSTRAINED;14;True;1899;0,795507431;;;
LESS CONSTRAINED;MOST CONSTRAINED;15;True;1359;0,478704691;;;
LESS CONSTRAINED;MOST CONSTRAINED;16;True;10052;3,049117088;;;
LESS CONSTRAINED;MOST CONSTRAINED;17;True;5374;1,813884258;;;
LESS CONSTRAINED;MOST CONSTRAINED;18;True;41299;15,25612879;;;
LESS CONSTRAINED;MOST CONSTRAINED;19;True;2545;1,017374754;;;
LESS CONSTRAINED;MOST CONSTRAINED;20;True;199636;130,4075499;;262897;153,0271378
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
LESS CONSTRAINED;LESS CONSTRAINED;4;True;8;0,000999928;;;
LESS CONSTRAINED;LESS CONSTRAINED;5;True;5;0;;;
LESS CONSTRAINED;LESS CONSTRAINED;6;True;31;0,002998352;;;
LESS CONSTRAINED;LESS CONSTRAINED;7;True;9;0,000999212;;;
LESS CONSTRAINED;LESS CONSTRAINED;8;True;113;0,013992786;;;
LESS CONSTRAINED;LESS CONSTRAINED;9;True;41;0,005995989;;;
LESS CONSTRAINED;LESS CONSTRAINED;10;True;102;0,015986919;;;
LESS CONSTRAINED;LESS CONSTRAINED;11;True;52;0,008994818;;;
LESS CONSTRAINED;LESS CONSTRAINED;12;True;261;0,054969072;;;
LESS CONSTRAINED;LESS CONSTRAINED;13;True;111;0,024984598;;;
LESS CONSTRAINED;LESS CONSTRAINED;14;True;1899;0,489696503;;;
LESS CONSTRAINED;LESS CONSTRAINED;15;True;1359;0,383764744;;;
LESS CONSTRAINED;LESS CONSTRAINED;16;True;10052;3,134066105;;;
LESS CONSTRAINED;LESS CONSTRAINED;17;True;5374;1,868846178;;;
LESS CONSTRAINED;LESS CONSTRAINED;18;True;41299;16,94754958;;;
LESS CONSTRAINED;LESS CONSTRAINED;19;True;2545;1,034363747;;;
LESS CONSTRAINED;LESS CONSTRAINED;20;True;199635;102,3005722;;262896;126,2887807
