;;Size;Success;Count;Time;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;12;True;153;0,090942621;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;13;True;203;0,140913963;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;14;True;124;0,104937077;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;15;True;34;0,040975094;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;16;True;44;0,058963776;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;17;True;58;0,083945036;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;18;True;55;0,104937315;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;19;True;52;0,099939585;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;20;True;145;0,253843307;;;;;;;;;;
;;;;;;;;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;;;;;;;;
LESS CONSTRAINED;NORMAL;4;True;10;0,000999928;;;;;;;;;;
LESS CONSTRAINED;NORMAL;5;True;6;0,000995874;;;;;;;;;;
LESS CONSTRAINED;NORMAL;6;True;56;0,007997751;;;;;;;;;;
LESS CONSTRAINED;NORMAL;7;True;22;0,003997803;;;;;;;;;;
LESS CONSTRAINED;NORMAL;8;True;160;0,031980276;;;;;;;;;;
LESS CONSTRAINED;NORMAL;9;True;60;0,015990019;;;;;;;;;;
LESS CONSTRAINED;NORMAL;10;True;334;0,158899784;;;;;;;;;;
LESS CONSTRAINED;NORMAL;11;True;933;0,355782986;;;;;;;;;;
LESS CONSTRAINED;NORMAL;12;True;385;0,151905775;;;;;;;;;;
LESS CONSTRAINED;NORMAL;13;True;1752;0,767524242;;;;;;;;;;
LESS CONSTRAINED;NORMAL;14;True;2510;1,309192657;;;;;;;;;;
LESS CONSTRAINED;NORMAL;15;True;29300;16,30394816;;;;;;;;;;
LESS CONSTRAINED;NORMAL;16;True;19871;13,00298214;;;;;;;;;;
LESS CONSTRAINED;NORMAL;17;True;118859;84,59383798;;;;;;;;;;
LESS CONSTRAINED;NORMAL;18;True;212197;170,264118;;;;;;;;;;
LESS CONSTRAINED;NORMAL;19;True;231520;212,8132164;;;;;;;;;;
LESS CONSTRAINED;NORMAL;20;True;134880;143,4613264;;;;;;;;;;
;;;;;;;;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;4;True;4;0,00100112;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;5;True;5;0,000998735;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;6;True;26;0,003997087;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;7;True;15;0,003999472;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;8;True;40;0,009992838;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;9;True;114;0,029978514;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;10;True;77;0,024987936;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;11;True;506;0,1758883;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;12;True;358;0,142914534;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;13;True;103;0,057964563;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;14;True;426;0,219861507;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;15;True;4684;2,530441761;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;16;True;1877;1,223246574;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;17;True;1441;1,017371178;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;18;True;23522;31,04912353;;;;;;;;;;
