Kolumna1;Kolumna2;Size;Success;Count;Time
MOST_CONSTRAINED;MEDIUM;18;True;697;0,740541458
MOST_CONSTRAINED;MEDIUM;19;True;294;0,366776228
MOST_CONSTRAINED;MEDIUM;20;True;303;0,405748367
MOST_CONSTRAINED;MOST CONSTRAINED;4;True;8;0,000999928
MOST_CONSTRAINED;MOST CONSTRAINED;5;True;5;0,000999212
MOST_CONSTRAINED;MOST CONSTRAINED;6;True;27;0,005997181
MOST_CONSTRAINED;MOST CONSTRAINED;7;True;7;0,001998425
MOST_CONSTRAINED;MOST CONSTRAINED;8;True;75;0,021986961
MOST_CONSTRAINED;MOST CONSTRAINED;9;True;25;0,009993076
MOST_CONSTRAINED;MOST CONSTRAINED;10;True;42;0,01998806
MOST_CONSTRAINED;MOST CONSTRAINED;11;True;59;0,032978058
MOST_CONSTRAINED;MOST CONSTRAINED;12;True;153;0,12392354
MOST_CONSTRAINED;MOST CONSTRAINED;13;True;202;0,186885595
MOST_CONSTRAINED;MOST CONSTRAINED;14;True;124;0,109931231
MOST_CONSTRAINED;MOST CONSTRAINED;15;True;31;0,055965185
MOST_CONSTRAINED;MOST CONSTRAINED;16;True;44;0,06496048
MOST_CONSTRAINED;MOST CONSTRAINED;17;True;54;0,079953909
MOST_CONSTRAINED;MOST CONSTRAINED;18;True;55;0,094941378
MOST_CONSTRAINED;MOST CONSTRAINED;19;True;52;0,097939253
MOST_CONSTRAINED;MOST CONSTRAINED;20;True;145;0,243846655
MOST_CONSTRAINED;LESS CONSTRAINED;4;True;8;0,000999689
MOST_CONSTRAINED;LESS CONSTRAINED;5;True;5;0,000999212
MOST_CONSTRAINED;LESS CONSTRAINED;6;True;25;0,004997015
MOST_CONSTRAINED;LESS CONSTRAINED;7;True;7;0,001998425
MOST_CONSTRAINED;LESS CONSTRAINED;8;True;72;0,020988703
MOST_CONSTRAINED;LESS CONSTRAINED;9;True;25;0,009994268
MOST_CONSTRAINED;LESS CONSTRAINED;10;True;35;0,016989231
MOST_CONSTRAINED;LESS CONSTRAINED;11;True;60;0,032978535
MOST_CONSTRAINED;LESS CONSTRAINED;12;True;133;0,087946653
MOST_CONSTRAINED;LESS CONSTRAINED;13;True;240;0,1948843
MOST_CONSTRAINED;LESS CONSTRAINED;14;True;143;0,130916834
MOST_CONSTRAINED;LESS CONSTRAINED;15;True;34;0,040974379
MOST_CONSTRAINED;LESS CONSTRAINED;16;True;46;0,058962345
MOST_CONSTRAINED;LESS CONSTRAINED;17;True;58;0,082948923
MOST_CONSTRAINED;LESS CONSTRAINED;18;True;55;0,093940258
MOST_CONSTRAINED;LESS CONSTRAINED;19;True;64;0,112931967
MOST_CONSTRAINED;LESS CONSTRAINED;20;True;144;0,236853123
